chrom	start	end	exon_chr	exon_start	exon_end	exon_gene	overlap_type	n_tissues	mean_pext	sd_pext	min_pext	max_pext	median_pext	iqr_pext	n_flagged	flagged_tissues	top3_tissues_by_z	top3_z	pext_tissue	tissue_z	tissue_flagged	tissues_matched
chr1	6485323	6485443	chr1	6485323	6485469	PLEKHG5	perfect	50	0.1365336	0.10781596926054987	0	0.50196	0.11501	0.1367875	1	Muscle_Skeletal	Muscle_Skeletal,Lung,Adipose_Subcutaneous	3.389,2.32,1.513	0.50196	3.38935319606416	TRUE	Muscle_Skeletal
chr1	10107221	10107374	chr1	10107221	10107374	UBE4B	perfect	50	0.024843800000000006	0.0901077737453708	0	0.55114	0.001605	0.0082475	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.841,2.608,2.334	0.55114	5.840741349211704	TRUE	Muscle_Skeletal
chr1	10642081	10642322	chr1	10642081	10642322	CASZ1	perfect	50	0.018275999999999997	0.04207291479305509	0	0.25885	0.004255	0.015975	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.718,2.387,2.186	0.25885	5.71802550841358	TRUE	Muscle_Skeletal
chr1	28623945	28624017	chr1	28623941	28624126	TAF12	perfect	50	0.009203000000000001	0.04773316530891453	0	0.32277	0	0	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.569,1.951,0.542	0.32277	6.569164185335075	TRUE	Muscle_Skeletal
chr1	40544396	40544415	chr1	40544396	40545037	ZNF684	perfect	50	0.11100120000000001	0.08922673408839768	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103	0.43972	3.684084185736704	TRUE	Muscle_Skeletal
chr1	40544415	40544456	chr1	40544396	40545037	ZNF684	perfect	50	0.1122128	0.09330141106267212	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.51,3.455,3.333	0.43972	3.510206290235074	TRUE	Muscle_Skeletal
chr1	40544456	40544515	chr1	40544396	40545037	ZNF684	perfect	50	0.11100120000000001	0.08922673408839768	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103	0.43972	3.684084185736704	TRUE	Muscle_Skeletal
chr1	41159724	41159730	chr1	41159724	41159933	SCMH1	perfect	50	0.0860294	0.042283711989756216	0	0.27887	0.07391	0.03949500000000001	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	4.561,2.22,1.995	0.27887	4.560635547955632	TRUE	Muscle_Skeletal
chr1	51740142	51740211	chr1	51740142	51740211	OSBPL9	perfect	50	0.0790932	0.07632293611560106	0	0.48722	0.06972	0.05847499999999999	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	5.347,1.752,1.66	0.48722	5.347367656058706	TRUE	Muscle_Skeletal
chr1	51836368	51836438	chr1	51836343	51836483	MIR761,NRDC	perfect	50	0.0238054	0.023142248335025702	0.00917	0.1352	0.018935	0.0055600000000000024	2	Muscle_Skeletal,Testis	Muscle_Skeletal,Testis,Cells_EBV_transformedlymphocytes	4.813,4.446,1.103	0.1352	4.813473539275987	TRUE	Muscle_Skeletal
chr1	51837486	51837620	chr1	51837455	51837620	NRDC	perfect	50	0.0238054	0.023142248335025702	0.00917	0.1352	0.018935	0.0055600000000000024	2	Muscle_Skeletal,Testis	Muscle_Skeletal,Testis,Cells_EBV_transformedlymphocytes	4.813,4.446,1.103	0.1352	4.813473539275987	TRUE	Muscle_Skeletal
chr1	62100318	62100408	chr1	62100318	62100408	PATJ	perfect	50	0.0190566	0.02264111905091157	0	0.12749	0.01705	0.0205125	2	Muscle_Skeletal,Testis	Muscle_Skeletal,Testis,Heart_AtrialAppendage	4.789,3.504,1.081	0.12749	4.789224408748218	TRUE	Muscle_Skeletal
chr1	77745420	77745462	chr1	77745420	77745638	USP33	perfect	50	0.2260052	0.049001545300081294	0.13211	0.3993	0.218045	0.04023750000000001	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	3.537,2.866,2.629	0.3993	3.5365170412230347	TRUE	Muscle_Skeletal
chr1	93613846	93613930	chr1	93613846	93614097	BCAR3	perfect	50	0.11559180000000001	0.10917606190283767	0	0.54592	0.080735	0.08638000000000001	1	Muscle_Skeletal	Muscle_Skeletal,Artery_Tibial,Liver	3.942,2.965,1.807	0.54592	3.941598483218554	TRUE	Muscle_Skeletal
chr1	94472172	94472242	chr1	94472172	94472242	ABCD3	perfect	50	0.014260999999999996	0.06272569360122772	0	0.37058	0	0	2	Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.681,3.448,1.553	0.37058	5.680590831968511	TRUE	Muscle_Skeletal
chr1	111764401	111764409	chr1	111764401	111764450	DDX20	perfect	50	0.0210374	0.03696112131714089	0	0.13389	0	0.02877	2	Muscle_Skeletal,Testis	Muscle_Skeletal,Testis,Artery_Tibial	3.053,3.036,2.589	0.13389	3.053278579718416	TRUE	Muscle_Skeletal
chr1	114741526	114741664	chr1	114741526	114741701	CSDE1	perfect	50	0.025041	0.07517127043611539	0	0.47252	0.003365	0.013989999999999999	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.953,2.486,2.009	0.47252	5.952792834335451	TRUE	Muscle_Skeletal
chr1	151133959	151134055	chr1	151133959	151134055	SEMA6C	perfect	50	0.0353746	0.05002523874067193	0	0.36476	0.027155	0.0158	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	6.584,0.742,0.661	0.36476	6.584384368608727	TRUE	Muscle_Skeletal
chr1	154263102	154263149	chr1	154263102	154263505	UBAP2L	perfect	50	0.2211744	0.035349706644281144	0.15415	0.33554	0.21951500000000002	0.032275000000000026	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	3.235,2.343,2.29	0.33554	3.235263057508343	TRUE	Muscle_Skeletal
chr1	160284130	160284140	chr1	160284130	160284231	PEX19	perfect	50	0.04682	0.056281547525247874	0	0.22848	0.031195	0.0741925	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	3.228,2.88,2.764	0.22848	3.2277008715602107	TRUE	Muscle_Skeletal
chr1	180073818	180073908	chr1	180073785	180073908	CEP350	perfect	50	0.012110000000000001	0.030994402391267946	0	0.15662	0	0	2	Cells_EBV_transformedlymphocytes,Muscle_Skeletal	Muscle_Skeletal,Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	4.662,3.329,1.917	0.15662	4.6624547934730565	TRUE	Muscle_Skeletal
chr1	184095030	184095067	chr1	184093624	184095617	TSEN15	perfect	50	0.0627728	0.04956736644698602	0	0.25451	0.045795	0.0582175	1	Muscle_Skeletal	Muscle_Skeletal,Brain_FrontalCortex_BA9,Liver	3.868,1.834,1.625	0.25451	3.868214386678571	TRUE	Muscle_Skeletal
chr1	225504990	225505053	chr1	225504990	225505053	ENAH	perfect	50	0.006124200000000002	0.025630226184037045	0	0.13179	0	0	2	Muscle_Skeletal,Pancreas	Muscle_Skeletal,Pancreas,MinorSalivaryGland	4.903,4.226,2.101	0.13179	4.90303125293006	TRUE	Muscle_Skeletal
chr1	227059372	227059389	chr1	227059212	227059411	CDC42BPA	perfect	50	0.0853264	0.028035030256259537	0	0.18424	0.082535	0.017424999999999982	1	Muscle_Skeletal	Muscle_Skeletal,Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	3.528,2.901,1.772	0.18424	3.5282144907946016	TRUE	Muscle_Skeletal
chr1	227059389	227059411	chr1	227059212	227059411	CDC42BPA	perfect	50	0.0852742	0.027998268903484672	0	0.18424	0.082535	0.017424999999999982	1	Muscle_Skeletal	Muscle_Skeletal,Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	3.535,2.907,1.776	0.18424	3.534711390234654	TRUE	Muscle_Skeletal
chr1	243293398	243293494	chr1	243293398	243293494	SDCCAG8	perfect	50	0.0827686	0.025784584384425338	0.02647	0.17237	0.08445	0.0378525	1	Muscle_Skeletal	Muscle_Skeletal,Pancreas,Thyroid	3.475,1.586,1.415	0.17237	3.4749988079746568	TRUE	Muscle_Skeletal
chr10	311536	311566	chr10	311536	311566	DIP2C	perfect	50	0.0237682	0.020006693338143876	0	0.1283	0.02044	0.013697499999999998	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,Artery_Tibial	5.225,2.956,1.449	0.1283	5.2248414184818985	TRUE	Muscle_Skeletal
chr10	484780	484948	chr10	484780	484948	DIP2C	perfect	50	0.0237682	0.020006693338143876	0	0.1283	0.02044	0.013697499999999998	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,Artery_Tibial	5.225,2.956,1.449	0.1283	5.2248414184818985	TRUE	Muscle_Skeletal
chr10	870012	873144	chr10	870008	873205	LARP4B	perfect	50	0.009982200000000002	0.03668967904087536	0	0.18508	0.00116	8.274999999999999e-4	2	Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	4.772,4.469,1.889	0.18508	4.7723993389238	TRUE	Muscle_Skeletal
chr10	6228195	6228218	chr10	6228195	6228295	PFKFB3	perfect	50	0.037433	0.0875854690503825	0	0.60802	0.015875	0.011497499999999999	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_FrontalCortex_BA9	6.515,1.121,0.867	0.60802	6.514630864987165	TRUE	Muscle_Skeletal
chr10	13591867	13591888	chr10	13591459	13592323	PRPF18,RPL6P24	perfect	50	0.0636722	0.04704080418452187	0.01981	0.28529	0.048505	0.022452500000000007	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	4.711,2.685,1.953	0.28529	4.711182213864453	TRUE	Muscle_Skeletal
chr10	13597644	13597671	chr10	13597644	13597671	PRPF18	perfect	50	0.0432752	0.054230239408338536	0	0.28529	0.022685	0.028732500000000005	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	4.463,2.705,2.07	0.28529	4.462727855167598	TRUE	Muscle_Skeletal
chr10	26763879	26763960	chr10	26763879	26763960	ABI1	perfect	50	0.09794139999999998	0.15338439165743833	0	0.60461	0	0.2225475	1	Muscle_Skeletal	Muscle_Skeletal,Brain_Caudate_basalganglia,Brain_Putamen_basalganglia	3.303,1.881,1.838	0.60461	3.303260485144867	TRUE	Muscle_Skeletal
chr10	60051474	60051561	chr10	60051474	60051604	ANK3	perfect	50	0.0115244	0.046729198980805936	0	0.32236	0.0013700000000000001	0.0048825000000000006	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.652,1.379,0.935	0.32236	6.6518495240561695	TRUE	Muscle_Skeletal
chr10	60053676	60053727	chr10	60053676	60053727	ANK3	perfect	50	0.0091966	0.037942668438106474	0	0.26619	0	0.005795	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.773,0.942,0.652	0.26619	6.77320311351368	TRUE	Muscle_Skeletal
chr10	72524734	72524746	chr10	72524734	72524746	MICU1	perfect	50	0.0268152	0.0385224328623291	0	0.28084	0.023045000000000003	0.0159425	1	Muscle_Skeletal	Muscle_Skeletal,Cells_EBV_transformedlymphocytes,Brain_FrontalCortex_BA9	6.594,0.626,0.434	0.28084	6.594204496580734	TRUE	Muscle_Skeletal
chr10	73448663	73448690	chr10	73448663	73448690	PPP3CB	perfect	50	0.0042774	0.017253787730849835	0	0.10818	0	0	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	6.022,2.801,1.436	0.10818	6.022016824411359	TRUE	Muscle_Skeletal
chr10	95322745	95322805	chr10	95322745	95322805	SORBS1	perfect	50	0.013038000000000001	0.035952127580311855	0	0.19826	0.004255	0.003544999999999999	2	Heart_AtrialAppendage,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	5.152,3.309,2.903	0.19826	5.151906506401905	TRUE	Muscle_Skeletal
chr10	102776390	102776417	chr10	102776248	102776417	WBP1L	perfect	50	0.1682688	0.10464173266368033	0	0.52756	0.15295999999999998	0.12429500000000003	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	3.434,2.596,2.176	0.52756	3.433536418541213	TRUE	Muscle_Skeletal
chr10	132832767	132832802	chr10	132832615	132832802	CFAP46	perfect	50	0.0368622	0.06299747627889712	0	0.28437	0	0.0614925	1	Muscle_Skeletal	Muscle_Skeletal,Stomach,Brain_Substantianigra	3.929,2.425,2.229	0.28437	3.9288526242583797	TRUE	Muscle_Skeletal
chr11	1936213	1936254	chr11	1936213	1936254	TNNT3	perfect	50	0.006828000000000001	0.03238068635745066	0	0.18743	0	0	2	MinorSalivaryGland,Muscle_Skeletal	Muscle_Skeletal,MinorSalivaryGland,Heart_LeftVentricle	5.577,3.988,-0.014	0.18743	5.577460527128211	TRUE	Muscle_Skeletal
chr11	7617111	7617294	chr11	7617111	7617294	PPFIBP2	perfect	50	0.0067150000000000005	0.03317686126609008	0	0.2233	0	0	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.528,1.533,1.451	0.2233	6.528194402204362	TRUE	Muscle_Skeletal
chr11	7641032	7641065	chr11	7641032	7641083	PPFIBP2	perfect	50	0.0768928	0.05942511439258177	0	0.28932	0.07236999999999999	0.094915	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Artery_Tibial	3.575,1.715,1.678	0.28932	3.5747040989544656	TRUE	Muscle_Skeletal
chr11	7655432	7655498	chr11	7655413	7655498	PPFIBP2	perfect	50	0.0187468	0.031428086453401026	0	0.22039	0.01194	0.013815	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	6.416,1.479,1.068	0.22039	6.416019005769884	TRUE	Muscle_Skeletal
chr11	7656726	7656795	chr11	7656726	7657127	PPFIBP2	perfect	50	0.0187468	0.031428086453401026	0	0.22039	0.01194	0.013815	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	6.416,1.479,1.068	0.22039	6.416019005769884	TRUE	Muscle_Skeletal
chr11	46366256	46366984	chr11	46366243	46366984	DGKZ	perfect	50	0.0490742	0.05216747145413861	0.00513	0.27192	0.032924999999999996	0.029637499999999997	1	Muscle_Skeletal	Muscle_Skeletal,Pituitary,Heart_AtrialAppendage	4.272,2.811,2.713	0.27192	4.27173857172487	TRUE	Muscle_Skeletal
chr11	47172709	47172751	chr11	47172709	47172751	ARFGAP2	perfect	50	0.0341468	0.03976555952385051	0	0.19202	0.019825000000000002	0.05312	1	Muscle_Skeletal	Muscle_Skeletal,Pancreas,Esophagus_Mucosa	3.97,2.207,1.651	0.19202	3.970098796304151	TRUE	Muscle_Skeletal
chr11	57311237	57311363	chr11	57311237	57311469	TNKS1BP1	perfect	50	0.025092200000000002	0.017999823501402244	0	0.10932	0.023309999999999997	0.020899999999999995	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,AdrenalGland	4.679,1.945,1.11	0.10932	4.679368105661612	TRUE	Muscle_Skeletal
chr11	62634309	62634375	chr11	62634309	62634375	GANAB	perfect	50	0.1090256	0.04566507271382784	0.04124	0.33933	0.10725	0.03837250000000002	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.043,2.163,1.514	0.33933	5.043338076854996	TRUE	Muscle_Skeletal
chr11	65580927	65580963	chr11	65580927	65580963	EHBP1L1	perfect	50	0.0095808	0.015493099957262082	0	0.10184	0.0051400000000000005	0.003172499999999999	1	Muscle_Skeletal	Muscle_Skeletal,Brain_Cerebellum,Brain_CerebellarHemisphere	5.955,1.694,1.663	0.10184	5.9548573400093074	TRUE	Muscle_Skeletal
chr11	70349922	70350039	chr11	70349922	70350039	PPFIA1	perfect	50	0.0452028	0.025233581612200667	0.00355	0.14076	0.042855	0.030015	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Bladder	3.787,1.6,1.52	0.14076	3.7869059362463715	TRUE	Muscle_Skeletal
chr11	73889050	73889245	chr11	73888793	73889245	PAAF1	perfect	50	0.014620600000000001	0.028552578811300217	0	0.15306	0.0024749999999999998	0.01689	2	Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	4.849,3.256,1.756	0.15306	4.8485778085028874	TRUE	Muscle_Skeletal
