chrom	start	end	exon_chr	exon_start	exon_end	exon_gene	overlap_type	n_tissues	mean_pext	sd_pext	min_pext	max_pext	median_pext	iqr_pext	n_flagged	flagged_tissues	top3_tissues_by_z	top3_z	pext_tissue	tissue_z	tissue_flagged	tissues_matched
chr1	6496516	6496569	chr1	6496492	6496696	PLEKHG5	perfect	50	0.0086742	0.0613358564136835	0	0.43371	0	0	1	Nerve_Tibial	Nerve_Tibial,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	0.43371	6.929646455628166	TRUE	Nerve_Tibial
chr1	6506025	6506158	chr1	6506025	6506158	PLEKHG5	perfect	50	0.0086742	0.0613358564136835	0	0.43371	0	0	1	Nerve_Tibial	Nerve_Tibial,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	0.43371	6.929646455628166	TRUE	Nerve_Tibial
chr1	21651778	21651822	chr1	21651162	21651903	RAP1GAP	perfect	50	0.0028242000000000007	0.014725925644306121	0	0.10428	0	0.001065	1	Nerve_Tibial	Nerve_Tibial,Brain_Spinalcord_cervicalc_1,Kidney_Cortex	6.89,0.375,0.133	0.10428	6.889604256505843	TRUE	Nerve_Tibial
chr10	11532177	11532232	chr10	11532177	11532275	USP6NL	perfect	50	0.47152479999999997	0.08623376113891396	0.197	0.76501	0.459635	0.08219249999999989	1	Nerve_Tibial	Nerve_Tibial,Liver,Brain_Spinalcord_cervicalc_1	3.403,2.135,1.756	0.76501	3.4033677311978163	TRUE	Nerve_Tibial
chr12	9986136	9986158	chr12	9985641	9986158	CLEC1B	perfect	50	0.06487720000000001	0.18731324133588403	0	0.75	0	0	3	Adipose_Subcutaneous,Nerve_Tibial,SmallIntestine_TerminalIleum	Adipose_Subcutaneous,SmallIntestine_TerminalIleum,Nerve_Tibial	3.658,3.658,3.213	0.66667	3.2127616590697112	TRUE	Nerve_Tibial
chr15	82263358	82263428	chr15	82263358	82263438	SAXO2	perfect	50	0.022307400000000005	0.05537297361879489	0	0.23629	0	0	2	Kidney_Cortex,Nerve_Tibial	Kidney_Cortex,Nerve_Tibial,Thyroid	3.864,3.554,2.293	0.21908	3.553585569643505	TRUE	Nerve_Tibial
chr15	86556222	86556285	chr15	86556222	86556285	AGBL1	perfect	50	0.0187408	0.0896490985155627	0	0.5	0	0	2	Lung,Nerve_Tibial	Nerve_Tibial,Lung,Testis	5.368,4.253,0.204	0.5	5.368254761830711	TRUE	Nerve_Tibial
chr15	86987986	86988088	chr15	86987986	86988088	AGBL1	perfect	50	0.0187408	0.0896490985155627	0	0.5	0	0	2	Lung,Nerve_Tibial	Nerve_Tibial,Lung,Testis	5.368,4.253,0.204	0.5	5.368254761830711	TRUE	Nerve_Tibial
chr15	87028824	87028837	chr15	87028824	87029052	AGBL1	perfect	50	0.0187408	0.0896490985155627	0	0.5	0	0	2	Lung,Nerve_Tibial	Nerve_Tibial,Lung,Testis	5.368,4.253,0.204	0.5	5.368254761830711	TRUE	Nerve_Tibial
chr16	57955345	57955368	chr16	57954674	57955368	CNGB1	perfect	50	0.0479638	0.20406661496287967	0	1	0	0	2	Lung,Nerve_Tibial	Lung,Nerve_Tibial,Testis	4.665,4.665,1.698	1	4.665320685469195	TRUE	Nerve_Tibial
chr19	36714483	36714500	chr19	36714382	36714500	ZNF850	perfect	50	0.018292199999999998	0.059604710103227564	0	0.27778	0	0	3	Brain_Spinalcord_cervicalc_1,Nerve_Tibial,Testis	Testis,Brain_Spinalcord_cervicalc_1,Nerve_Tibial	4.353,3.468,3.097	0.2029	3.097201541292348	TRUE	Nerve_Tibial
chr21	29553557	29553704	chr21	29550946	29553704	GRIK1	perfect	50	0.025081199999999984	0.0774522776740488	0	0.38462	0	0.0046125	2	Nerve_Tibial,Testis	Nerve_Tibial,Testis,Vagina	4.642,4.305,1.478	0.38462	4.642068778313892	TRUE	Nerve_Tibial
chr22	48693356	48693381	chr22	48693246	48693381	TAFA5	perfect	50	0.030258199999999996	0.06158970410544215	0	0.28219	0	0.0334025	1	Nerve_Tibial	Nerve_Tibial,Ovary,Liver	4.09,2.784,2.58	0.28219	4.090485636506556	TRUE	Nerve_Tibial
chr3	73433638	73433707	chr3	73433638	73433904	ENSG00000309320,PDZRN3	perfect	50	0.0133096	0.03181649578313689	0	0.16758	0	0.0087	2	Nerve_Tibial,Skin_NotSunExposed_Suprapubic	Nerve_Tibial,Skin_NotSunExposed_Suprapubic,Colon_Sigmoid	4.849,3.102,2.189	0.16758	4.84875521966706	TRUE	Nerve_Tibial
chr3	97010003	97010026	chr3	97010003	97010134	EPHA6	perfect	50	0.007381600000000004	0.032638230329176975	0	0.21053	0	0	1	Nerve_Tibial	Nerve_Tibial,Thyroid,Esophagus_Mucosa	6.224,2.002,1.962	0.21053	6.224246779041671	TRUE	Nerve_Tibial
chr5	148484259	148484379	chr5	148484259	148484379	HTR4	perfect	50	0.1396986	0.25408683344607425	0	1	0	0.24881999999999999	3	Bladder,Nerve_Tibial,Spleen	Bladder,Nerve_Tibial,Spleen	3.386,3.386,3.386	1	3.38585588372325	TRUE	Nerve_Tibial
chr7	17450994	17451012	chr7	17450994	17451061	ENSG00000283321,LINC02888	perfect	50	0.05999999999999999	0.2398979374820953	0	1	0	0	3	Bladder,Cells_Culturedfibroblasts,Nerve_Tibial	Bladder,Cells_Culturedfibroblasts,Nerve_Tibial	3.918,3.918,3.918	1	3.9183329788742207	TRUE	Nerve_Tibial
chr7	94639340	94639448	chr7	94639340	94639448	SGCE	perfect	50	0.0454274	0.02808089144828939	0	0.14265	0.04883	0.0364675	1	Nerve_Tibial	Nerve_Tibial,Brain_Spinalcord_cervicalc_1,Brain_Amygdala	3.462,2.242,1.6	0.14265	3.462233390240983	TRUE	Nerve_Tibial
chr8	144528267	144528372	chr8	144528267	144528556	C8orf82	perfect	50	0.0920708	0.03354798663869717	0.03401	0.19655	0.0895	0.039895000000000014	1	Nerve_Tibial	Nerve_Tibial,Testis,Esophagus_Mucosa	3.114,2.529,1.762	0.19655	3.1143210209665635	TRUE	Nerve_Tibial
chr8	144528372	144528471	chr8	144528267	144528556	C8orf82	perfect	50	0.09213640000000001	0.033549914854966625	0.03401	0.19655	0.0895	0.039895000000000014	1	Nerve_Tibial	Nerve_Tibial,Testis,Esophagus_Mucosa	3.112,2.526,1.76	0.19655	3.112186735834381	TRUE	Nerve_Tibial
chr8	144528471	144528556	chr8	144528267	144528556	C8orf82	perfect	50	0.0920708	0.03354798663869717	0.03401	0.19655	0.0895	0.039895000000000014	1	Nerve_Tibial	Nerve_Tibial,Testis,Esophagus_Mucosa	3.114,2.529,1.762	0.19655	3.1143210209665635	TRUE	Nerve_Tibial
