gene	transcript	canonical	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
MED13	ENST00000397786	TRUE	871	1.12E+03	7.79E-01	5.56E-05	14195	314	5.30E+02	5.93E-01	6708	422	3.88E+02	1.09E+00	1.91E-05	4248	0	4.92E-06	1257	9.84E+01	1.00E+00	8.94E-40	1.84E-16	0.00E+00	1.01E+00	1.18E+00	7.36E-01	8.24E-01	0.00E+00	3.00E-02		-1.38E+00	2.62E+00	9.19E+00	0	0	0	2	1.21E-05	8.05E-06	124782	3	0	124785	1.20E-05	1.80E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-05	8.86E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-05	8.83E-06	0.00E+00	0.00E+00	protein_coding	ENSG00000108510	2	6522	30	protein_coding	122678	1.00E+00	0	6.44E+01	0.00E+00	NA	17	60019966	60142643
NIPBL	ENST00000282516	TRUE	846	1.44E+03	5.87E-01	7.38E-05	18540	158	5.43E+02	2.91E-01	7135	496	4.95E+02	1.00E+00	2.49E-05	5211	1	9.42E-06	1781	1.50E+02	1.00E+00	2.98E-59	3.57E-24	6.65E-03	9.30E-01	1.08E+00	5.54E-01	6.21E-01	1.00E-03	3.20E-02		-3.51E-02	5.57E+00	1.13E+01	1	0	0	2	1.19E-05	7.96E-06	125693	3	0	125696	1.19E-05	1.79E-05	0.00E+00	0.00E+00	9.92E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.53E-05	0.00E+00	0.00E+00	9.92E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.53E-05	protein_coding	ENSG00000164190	2	8412	46	protein_coding	189655	1.00E+00	1	1.11E+02	9.04E-03	NA	5	36876861	37066515
SMC3	ENST00000361804	TRUE	178	6.30E+02	2.83E-01	3.25E-05	8109	21	1.83E+02	1.15E-01	2197	215	2.03E+02	1.06E+00	9.80E-06	2091	0	4.54E-06	937	7.95E+01	1.00E+00	2.79E-32	2.19E-13	0.00E+00	9.46E-01	1.18E+00	2.49E-01	3.20E-01	0.00E+00	3.70E-02		-6.48E-01	6.40E+00	8.26E+00	3	0	0	8	3.19E-05	4.00E-06	125731	8	0	125739	3.18E-05	1.27E-04	0.00E+00	0.00E+00	9.94E-05	5.44E-05	0.00E+00	4.41E-05	0.00E+00	3.27E-05	0.00E+00	0.00E+00	9.92E-05	5.44E-05	0.00E+00	4.40E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000108055	2	3651	29	protein_coding	36946	1.00E+00	0	5.85E+01	0.00E+00	NA	10	112327449	112364394
CNOT1	ENST00000317147	TRUE	561	1.30E+03	4.33E-01	6.91E-05	15670	51	2.91E+02	1.75E-01	3560	470	4.56E+02	1.03E+00	2.40E-05	4564	1	6.81E-06	1440	1.25E+02	1.00E+00	2.99E-49	4.56E-20	8.00E-03	9.55E-01	1.11E+00	4.03E-01	4.64E-01	2.00E-03	3.80E-02		-5.14E-01	7.25E+00	1.03E+01	4	0	0	5	2.00E-05	4.02E-06	125740	4	0	125744	1.59E-05	3.18E-05	0.00E+00	2.89E-05	0.00E+00	5.46E-05	0.00E+00	2.64E-05	0.00E+00	0.00E+00	0.00E+00	2.89E-05	0.00E+00	5.44E-05	0.00E+00	1.76E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000125107	2	7128	48	protein_coding	109936	1.00E+00	3	9.01E+01	3.33E-02	NA	16	58553855	58663790
RLF	ENST00000372771	TRUE	669	9.73E+02	6.88E-01	4.71E-05	12682	107	3.21E+02	3.33E-01	4151	358	3.53E+02	1.02E+00	1.67E-05	3482	0	4.02E-06	1024	7.32E+01	1.00E+00	8.41E-30	2.28E-12	0.00E+00	9.30E-01	1.11E+00	6.45E-01	7.33E-01	0.00E+00	4.00E-02		-2.25E-01	3.46E+00	7.93E+00	6	0	0	1	4.00E-06	4.00E-06	125122	1	0	125123	4.00E-06	2.00E-06	6.19E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.19E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000117000	2	5742	8	protein_coding	79549	1.00E+00	0	4.36E+01	0.00E+00	NA	1	40627045	40706593
PCF11	ENST00000298281	TRUE	574	7.83E+02	7.33E-01	3.91E-05	10106	130	2.64E+02	4.92E-01	3521	298	2.73E+02	1.09E+00	1.33E-05	3026	0	4.65E-06	862	7.46E+01	1.00E+00	2.49E-30	1.39E-12	0.00E+00	9.93E-01	1.20E+00	6.83E-01	7.85E-01	0.00E+00	4.00E-02		-1.21E+00	2.66E+00	8.00E+00	7	0	0	5	2.18E-05	5.71E-06	124627	4	0	124631	1.60E-05	3.21E-05	0.00E+00	0.00E+00	0.00E+00	1.11E-04	0.00E+00	2.95E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.56E-05	0.00E+00	2.65E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000165494	2	4665	16	protein_coding	30464	1.00E+00	1	4.82E+01	2.08E-02	NA	11	82868030	82898493
FNDC3B	ENST00000336824	TRUE	551	6.90E+02	7.99E-01	3.78E-05	7833	75	1.60E+02	4.67E-01	1794	274	2.66E+02	1.03E+00	1.67E-05	2360	0	3.79E-06	805	6.98E+01	1.00E+00	1.88E-28	8.18E-12	0.00E+00	9.33E-01	1.14E+00	7.44E-01	8.57E-01	0.00E+00	4.20E-02		-3.89E-01	1.87E+00	7.74E+00	10	0	0	2	7.96E-06	3.98E-06	125745	2	0	125747	7.95E-06	7.95E-06	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	8.80E-06	0.00E+00	0.00E+00	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	8.79E-06	0.00E+00	0.00E+00	protein_coding	ENSG00000075420	2	3612	25	protein_coding	362038	1.00E+00	0	4.94E+01	0.00E+00	NA	3	171757418	172119455
TAF1	ENST00000276072	TRUE	326	7.48E+02	4.36E-01	5.96E-05	12563	82	3.12E+02	2.63E-01	5365	272	2.50E+02	1.09E+00	1.82E-05	3522	0	5.38E-06	1203	6.89E+01	1.00E+00	4.29E-28	1.15E-11	0.00E+00	9.83E-01	1.20E+00	3.97E-01	4.77E-01	0.00E+00	4.30E-02		-1.07E+00	5.49E+00	7.69E+00	12	0	0	3	9.99E-05	8.73E-05	125688	15	3	125706	7.16E-05	6.44E-04	1.01E-04	0.00E+00	5.35E-04	7.94E-04	0.00E+00	1.22E-05	0.00E+00	5.24E-05	6.15E-05	0.00E+00	3.97E-04	5.98E-04	0.00E+00	8.79E-06	0.00E+00	3.27E-05	protein_coding	ENSG00000147133	2	5679	38	protein_coding	166111	1.00E+00	2	5.08E+01	3.94E-02	NA	X	70586114	70752224
NCKAP1	ENST00000360982	TRUE	291	5.81E+02	5.01E-01	2.87E-05	7483	56	1.54E+02	3.63E-01	2017	194	1.98E+02	9.80E-01	9.84E-06	2051	0	3.52E-06	850	6.72E+01	1.00E+00	1.97E-27	2.15E-11	0.00E+00	8.71E-01	1.10E+00	4.55E-01	5.52E-01	0.00E+00	4.40E-02		2.21E-01	4.27E+00	7.60E+00	15	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000061676	2	3402	32	protein_coding	129744	1.00E+00	0	5.07E+01	0.00E+00	NA	2	183773843	183903586
RSF1	ENST00000308488	TRUE	620	7.57E+02	8.19E-01	3.99E-05	9552	206	3.10E+02	6.63E-01	3722	259	2.65E+02	9.77E-01	1.34E-05	2603	0	4.27E-06	846	6.78E+01	1.00E+00	1.14E-27	1.72E-11	0.00E+00	8.82E-01	1.08E+00	7.66E-01	8.76E-01	0.00E+00	4.40E-02		2.98E-01	1.77E+00	7.63E+00	16	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000048649	2	4323	16	protein_coding	161023	1.00E+00	0	4.70E+01	0.00E+00	NA	11	77371041	77532063
