chrom	start	end	exon_chr	exon_start	exon_end	exon_gene	overlap_type	n_tissues	mean_pext	sd_pext	min_pext	max_pext	median_pext	iqr_pext	n_flagged.x	flagged_tissues.x	top3_tissues_by_z.x	top3_z.x	n_flagged.y	flagged_tissues.y	top3_tissues_by_z.y	top3_z.y	oe_lof_upper
chr1	10107221	10107374	chr1	10107221	10107374	UBE4B	perfect	50	0.024843800000000006	0.0901077737453708	0	0.55114	0.001605	0.0082475	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.841,2.608,2.334	1	Muscle_Skeletal	Muscle_Skeletal	5.841	0.157
chr1	10355369	10355396	chr1	10355369	10355396	KIF1B	perfect	50	0.0041958	0.029201561049270738	0	0.20654	0	0	1	Testis	Testis,Brain_CerebellarHemisphere,Brain_Cerebellum	6.929,-0.085,-0.091	1	Testis	Testis	6.929	0.171
chr1	10642081	10642322	chr1	10642081	10642322	CASZ1	perfect	50	0.018275999999999997	0.04207291479305509	0	0.25885	0.004255	0.015975	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.718,2.387,2.186	1	Muscle_Skeletal	Muscle_Skeletal	5.718	0.152
chr1	20892618	20892729	chr1	20892618	20892729	EIF4G3	perfect	50	0.0213582	0.025289478225909996	0.00273	0.12945	0.0133	0.017990000000000003	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts,Skin_SunExposed_Lowerleg	4.274,3.625,1.509	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	4.274,3.625	0.112
chr1	20941378	20941395	chr1	20941241	20941484	EIF4G3	perfect	50	0.020583	0.029671626331963564	0.00452	0.21576	0.015050000000000001	0.0081875	1	Testis	Testis,WholeBlood,Muscle_Skeletal	6.578,0.819,0.74	1	Testis	Testis	6.578	0.112
chr1	28623945	28624017	chr1	28623941	28624126	TAF12	perfect	50	0.009203000000000001	0.04773316530891453	0	0.32277	0	0	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.569,1.951,0.542	1	Muscle_Skeletal	Muscle_Skeletal	6.569	0.317
chr1	35982620	35982649	chr1	35982620	35983409	AGO3	perfect	50	0.0937748	0.04491456584972616	0.04348	0.32137	0.082995	0.04539749999999999	1	Testis	Testis,Pancreas,Cells_EBV_transformedlymphocytes	5.067,2.543,1.412	1	Testis	Testis	5.067	0.193
chr1	39410265	39413982	chr1	39409502	39414477	MACF1	perfect	50	0.011138	0.01665556179705477	0.00171	0.12125	0.00831	0.004919999999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Muscle_Skeletal,Nerve_Tibial	6.611,0.767,0.73	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.611	0.084
chr1	39413982	39414477	chr1	39409502	39414477	MACF1	perfect	50	0.053252	0.03862277566410783	0.01027	0.28608	0.04782	0.029360000000000004	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Muscle_Skeletal,Pancreas	6.028,1.082,0.665	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.028	0.084
chr1	39436481	39436490	chr1	39436481	39436490	MACF1	perfect	50	0.0796174	0.03010278214886526	0.02226	0.24088	0.07877999999999999	0.02720249999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes,MinorSalivaryGland	5.357,1.913,0.787	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	5.357	0.084
chr1	39575631	39575686	chr1	39575631	39575686	PABPC4	perfect	50	0.0684668	0.03467664828800206	0.0186	0.23471	0.06565	0.03051749999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes,Pancreas	4.794,2.072,1.778	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	4.794	0.232
chr1	42951819	42951930	chr1	42951615	42952016	SLC2A1	perfect	50	0.006008799999999999	0.023900795532827788	0	0.16536	0	0.003005	1	WholeBlood	WholeBlood,Spleen,Cells_EBV_transformedlymphocytes	6.667,1.335,0.736	1	WholeBlood	WholeBlood	6.667	0.241
chr1	51729974	51730001	chr1	51729807	51730124	OSBPL9	perfect	50	0.0369908	0.03361628394522087	0	0.2089	0.030265	0.021687500000000002	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,AdrenalGland,Pancreas	5.114,1.658,1.452	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	5.114	0.309
chr1	51740142	51740211	chr1	51740142	51740211	OSBPL9	perfect	50	0.0790932	0.07632293611560106	0	0.48722	0.06972	0.05847499999999999	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	5.347,1.752,1.66	1	Muscle_Skeletal	Muscle_Skeletal	5.347	0.309
chr1	55071436	55071490	chr1	55071267	55071490	USP24	perfect	50	0.049447399999999996	0.03047602020257493	0.0169	0.16756	0.044175	0.023404999999999995	2	Liver,WholeBlood	Liver,WholeBlood,Cells_EBV_transformedlymphocytes	3.876,3.463,2.03	2	Liver,WholeBlood	Liver,WholeBlood	3.876,3.463	0.147
chr1	57033385	57033433	chr1	57033385	57033433	DAB1	perfect	50	0.012809800000000001	0.05150523759734719	0	0.31579	0	0	2	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum,Nerve_Tibial	5.883,3.168,0.888	2	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	5.883,3.168	0.215
chr1	57033522	57033573	chr1	57033522	57033573	DAB1	perfect	50	0.012809800000000001	0.05150523759734719	0	0.31579	0	0	2	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum,Nerve_Tibial	5.883,3.168,0.888	2	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum	5.883,3.168	0.215
chr1	65254534	65254649	chr1	65254461	65254649	DNAJC6	perfect	50	0.049365799999999994	0.0421120008631017	0	0.2	0.040870000000000004	0.05802000000000001	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts,Bladder	3.577,2.024,1.521	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	3.577	0.222
chr1	65630201	65630402	chr1	65630201	65630422	LEPR	perfect	50	0.0568048	0.046710575136161836	0	0.22222	0.04191	0.0228725	1	WholeBlood	WholeBlood,Cells_EBV_transformedlymphocytes,Liver	3.541,2.982,2.855	1	WholeBlood	WholeBlood	3.541	0.284
chr1	66634079	66634163	chr1	66634079	66634163	SGIP1	perfect	50	0.019184200000000002	0.030280794148187365	0	0.12091	0.005465	0.023254999999999998	1	Artery_Tibial	Artery_Tibial,Artery_Aorta,Esophagus_Muscularis	3.359,2.955,2.49	1	Artery_Tibial	Artery_Tibial	3.359	0.195
chr1	69716217	69716218	chr1	69716141	69716218	LRRC7	perfect	50	0.106242	0.06772982799328521	0	0.34021	0.11596000000000001	0.07084750000000002	1	Heart_AtrialAppendage	Heart_AtrialAppendage,Muscle_Skeletal,Nerve_Tibial	3.454,1.486,1.296	1	Heart_AtrialAppendage	Heart_AtrialAppendage	3.454	0.157
chr1	114420379	114420451	chr1	114420379	114420451	TRIM33	perfect	50	0.018591599999999996	0.03795783081047618	0	0.24347	0.009389999999999999	0.0156325	1	Testis	Testis,Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	5.924,2.343,1.978	1	Testis	Testis	5.924	0.086
chr1	114741526	114741664	chr1	114741526	114741701	CSDE1	perfect	50	0.025041	0.07517127043611539	0	0.47252	0.003365	0.013989999999999999	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.953,2.486,2.009	1	Muscle_Skeletal	Muscle_Skeletal	5.953	0.144
chr1	151669140	151669248	chr1	151669140	151669363	SNX27	perfect	50	0.0207806	0.02309541940714298	0	0.10961	0.01429	0.019865	2	Muscle_Skeletal,Testis	Testis,Muscle_Skeletal,WholeBlood	3.846,3.393,2.418	1	Testis	Testis	3.846	0.192
chr1	151825929	151825936	chr1	151825929	151826096	RORC	perfect	50	0.013798600000000003	0.0643041905198111	0	0.35833	0	0	2	Spleen,WholeBlood	Spleen,WholeBlood,SmallIntestine_TerminalIleum	5.358,4.229,0.499	2	Spleen,WholeBlood	Spleen,WholeBlood	5.358,4.229	0.161
chr1	154263102	154263149	chr1	154263102	154263505	UBAP2L	perfect	50	0.2211744	0.035349706644281144	0.15415	0.33554	0.21951500000000002	0.032275000000000026	1	Muscle_Skeletal	Muscle_Skeletal,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	3.235,2.343,2.29	1	Muscle_Skeletal	Muscle_Skeletal	3.235	0.103
chr1	154737043	154737088	chr1	154737043	154737088	KCNN3	perfect	50	0.018594	0.04579854480354644	0	0.1681	0	0	2	Colon_Sigmoid,Uterus	Uterus,Colon_Sigmoid,Bladder	3.264,3.035,2.627	2	Colon_Sigmoid,Uterus	Uterus,Colon_Sigmoid	3.264,3.035	0.319
chr1	154859694	154859712	chr1	154859694	154859843	KCNN3	perfect	50	0.10499040000000003	0.2236174795836563	0	1	0	0.1061075	2	Testis,WholeBlood	WholeBlood,Testis,Cells_EBV_transformedlymphocytes	4.002,3.071,2.861	2	Testis,WholeBlood	WholeBlood,Testis	4.002,3.071	0.319
