chrom	start	end	exon_chr	exon_start	exon_end	exon_gene	overlap_type	n_tissues	mean_pext	sd_pext	min_pext	max_pext	median_pext	iqr_pext	n_flagged.x	flagged_tissues.x	top3_tissues_by_z.x	top3_z.x	n_flagged.y	flagged_tissues.y	top3_tissues_by_z.y	top3_z.y
chr1	1034555	1034703	chr1	1034105	1034703	AGRN	perfect	50	0.0146674	0.02491983906080307	0	0.10531	0.005795	0.01318	2	Brain_Cortex,Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9,Brain_Cortex,Brain_Anteriorcingulatecortex_BA24	3.637,3.432,2.83	2	Brain_Cortex,Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9,Brain_Cortex	3.637,3.432
chr1	1051031	1051043	chr1	1051031	1051043	AGRN	perfect	50	0.031435199999999996	0.054227263541355986	0	0.20739	0.00198	0.043085	1	Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9,Brain_Cortex,Brain_Anteriorcingulatecortex_BA24	3.245,2.886,2.425	1	Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9	3.245
chr1	1361241	1361263	chr1	1361241	1361777	MXRA8	perfect	50	0.0245918	0.03490979511044231	0	0.14902	0.00962	0.0226525	1	Brain_CerebellarHemisphere	Brain_CerebellarHemisphere,Brain_Cerebellum,Brain_FrontalCortex_BA9	3.564,2.623,2.383	1	Brain_CerebellarHemisphere	Brain_CerebellarHemisphere	3.564
chr1	1988126	1988133	chr1	1987961	1988133	CFAP74	perfect	50	0.02854839999999999	0.0842658540853571	0	0.4	0	0	2	AdrenalGland,Brain_Substantianigra	Brain_Substantianigra,AdrenalGland,Pituitary	4.408,3.958,2.4	2	AdrenalGland,Brain_Substantianigra	Brain_Substantianigra,AdrenalGland	4.408,3.958
chr1	2355450	2355464	chr1	2355174	2355464	MORN1	perfect	50	0.0994562	0.06141890664468533	0.02528	0.3528	0.08304500000000001	0.06165000000000001	1	Testis	Testis,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	4.125,2.549,2.168	1	Testis	Testis	4.125
chr1	2379061	2379227	chr1	2374852	2379227	MORN1	perfect	50	0.052163	0.03763922320491469	0.00974	0.16609	0.038065	0.044295	1	AdrenalGland	AdrenalGland,Esophagus_Mucosa,Cells_Culturedfibroblasts	3.027,2.908,2.055	1	AdrenalGland	AdrenalGland	3.027
chr1	3531079	3531245	chr1	3531079	3531448	MEGF6	perfect	50	0.0971702	0.028676395220046867	0	0.21212	0.09497	0.021922499999999998	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Brain_CerebellarHemisphere,Brain_FrontalCortex_BA9	4.009,1.461,1.46	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	4.009
chr1	3860419	3860487	chr1	3860419	3860506	DFFB	perfect	50	0.003245800000000001	0.01879376536763926	0	0.12944	0	0	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Artery_Tibial,Adipose_Subcutaneous	6.715,1.575,-0.173	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.715
chr1	6358825	6358845	chr1	6358825	6359344	ACOT7	perfect	50	0.0090298	0.019088633169656602	0	0.13321	0.00477	0.011165000000000001	1	Pituitary	Pituitary,Cells_EBV_transformedlymphocytes,SmallIntestine_TerminalIleum	6.505,0.657,0.651	1	Pituitary	Pituitary	6.505
chr1	6360569	6360652	chr1	6360569	6360707	ACOT7	perfect	50	0.025270799999999996	0.10766474652477893	0	0.68233	0	0	1	Kidney_Cortex	Kidney_Cortex,SmallIntestine_TerminalIleum,Colon_Transverse	6.103,2.799,1.081	1	Kidney_Cortex	Kidney_Cortex	6.103
